species	specieskey	year	month	countrycode	occurrences
Tyto alba	2497921	2023	6	DE	16
Numenius phaeopus	2481784	2020	9	DE	10
Tringa glareola	2481713	2020	6	DE	29
Xema sabini	2481221	2020	9	FR	31
Branta bernicla	5232446	2018	11	DE	14
Motacilla cinerea	2490310	2016	6	FR	40
Glaucidium passerinum	5232162	2024	11	FR	13
Emberiza citrinella	2491534	2016	9	DE	42
Sylvia hortensis	2492944	2020	8	FR	6
Gyps fulvus	2480389	2016	9	FR	60
Emberiza citrinella	2491534	2016	12	FR	37
Pluvialis fulva	2480331	2021	9	FR	11
Anthus campestris	2490274	2022	5	DE	8
Aegypius monachus	5229165	2016	3	FR	4
Galerida cristata	2490669	2021	6	FR	33
Loxia curvirostra	9629160	2019	2	DE	30
Aythya nyroca	2498259	2017	11	FR	3
Lullula arborea	2490604	2018	12	FR	14
Cygnus atratus	2498344	2023	11	DE	10
Picus canus	2478548	2017	3	FR	5
Tringa flavipes	2481721	2021	5	FR	11
Calidris minuta	2481749	2019	5	DE	11
Apus pallidus	5228695	2022	6	FR	24
Numenius phaeopus	2481784	2020	6	FR	7
Cygnus atratus	2498344	2018	10	FR	5
Apus pallidus	5228695	2024	11	FR	7
Actitis hypoleucos	2481800	2019	12	DE	4
Botaurus stellaris	2480910	2018	11	DE	4
Scolopax rusticola	2481700	2018	1	FR	4
Botaurus stellaris	2480910	2017	2	DE	5
Phalaropus lobatus	5739290	2022	5	FR	9
Tetrastes bonasia	2473663	2022	5	FR	4
Numenius phaeopus	2481784	2016	3	FR	3
Luscinia svecica	4408732	2019	11	FR	1
Chenonetta jubata	2498046	2016	9	DE	1
Petronia petronia	2492350	2024	10	FR	2
Recurvirostra avosetta	2480259	2019	2	DE	1
Calidris pugnax	8250742	2023	11	DE	5
Dendrocygna bicolor	2498402	2024	5	FR	1
Numenius phaeopus	2481784	2020	3	DE	1
Ptyonoprogne rupestris	4408796	2020	11	DE	1
Psittacula eupatria	5229055	2017	7	FR	1
